2020/07/22 18:44:55 {"callers":["/Users/huangzijian/Documents/workspace/project/goblog/main.go: 46 main.init.0"],"level":"info","message":"testlog: go-programming-tour-book/blog-service","time":1595414695211812000}
2020/07/24 15:26:00 {"callers":["/Users/huangzijian/Documents/workspace/project/goblog/main.go: 48 main.init.0"],"level":"error","message":"app.BindAndValid errs: State必须是[0 1]中的一个","time":1595575560929012000}
2020/07/24 15:26:11 {"callers":["/Users/huangzijian/Documents/workspace/project/goblog/main.go: 48 main.init.0"],"level":"error","message":"app.BindAndValid errs: State必须是[0 1]中的一个","time":1595575571120856000}
2020/07/26 15:18:38 {"callers":["/Users/huangzijian/Documents/workspace/project/goblog/main.go: 48 main.init.0"],"level":"error","message":"app.BindAndValid errs: CreatedBy为必填字段","time":1595747918586588000}
2020/07/26 15:28:32 {"callers":["/Users/huangzijian/Documents/workspace/project/goblog/main.go: 48 main.init.0"],"level":"error","message":"app.BindAndValid errs: CreatedBy为必填字段","time":1595748512448239000}
2020/07/26 15:28:56 {"callers":["/Users/huangzijian/Documents/workspace/project/goblog/main.go: 48 main.init.0"],"level":"error","message":"app.BindAndValid errs: CreatedBy为必填字段","time":1595748536437151000}
2020/07/26 15:31:18 {"callers":["/Users/huangzijian/Documents/workspace/project/goblog/main.go: 48 main.init.0"],"level":"error","message":"app.BindAndValid errs: CreatedBy为必填字段","time":1595748678015883000}
2020/07/26 15:31:34 {"callers":["/Users/huangzijian/Documents/workspace/project/goblog/main.go: 48 main.init.0"],"level":"error","message":"app.BindAndValid errs: CreatedBy为必填字段","time":1595748694965923000}
2020/07/26 15:32:17 {"callers":["/Users/huangzijian/Documents/workspace/project/goblog/main.go: 48 main.init.0"],"level":"error","message":"svc.CreateTag err: Error 1054: Unknown column 'modified_on' in 'field list'","time":1595748737682409000}
2020/07/26 15:41:25 {"callers":["/Users/huangzijian/Documents/workspace/project/goblog/main.go: 48 main.init.0"],"level":"error","message":"svc.CreateTag err: Error 1054: Unknown column 'modified_on' in 'field list'","time":1595749285498109000}
2020/07/26 15:47:36 {"callers":["/Users/huangzijian/Documents/workspace/project/goblog/main.go: 48 main.init.0"],"level":"error","message":"app.BindAndValid errs: CreatedBy为必填字段","time":1595749656846197000}
2020/07/26 15:50:28 {"callers":["/Users/huangzijian/Documents/workspace/project/goblog/main.go: 48 main.init.0"],"level":"error","message":"app.BindAndValid errs: CreatedBy为必填字段","time":1595749828393041000}
2020/07/26 15:50:54 {"callers":["/Users/huangzijian/Documents/workspace/project/goblog/main.go: 48 main.init.0"],"level":"error","message":"app.BindAndValid errs: CreatedBy为必填字段","time":1595749854329105000}
2020/07/26 15:52:21 {"callers":["/Users/huangzijian/Documents/workspace/project/goblog/main.go: 48 main.init.0"],"level":"error","message":"app.BindAndValid errs: CreatedBy为必填字段","time":1595749941189483000}
2020/07/26 15:52:30 {"callers":["/Users/huangzijian/Documents/workspace/project/goblog/main.go: 48 main.init.0"],"level":"error","message":"app.BindAndValid errs: ","time":1595749950498878000}
2020/07/26 15:52:43 {"callers":["/Users/huangzijian/Documents/workspace/project/goblog/main.go: 48 main.init.0"],"level":"error","message":"app.BindAndValid errs: CreatedBy为必填字段","time":1595749963780307000}
2020/07/26 15:55:53 {"callers":["/Users/huangzijian/Documents/workspace/project/goblog/main.go: 48 main.init.0"],"level":"error","message":"app.BindAndValid errs: ModifiedBy为必填字段","time":1595750153133704000}
2020/07/26 15:56:05 {"callers":["/Users/huangzijian/Documents/workspace/project/goblog/main.go: 48 main.init.0"],"level":"error","message":"app.BindAndValid errs: ModifiedBy为必填字段","time":1595750165091443000}
2020/07/26 16:04:21 {"callers":["/Users/huangzijian/Documents/workspace/project/goblog/main.go: 48 main.init.0"],"level":"error","message":"app.BindAndValid errs: Name长度必须至少为2个字符","time":1595750661096561000}
